chunk_start,chunk_end,query_start_utc,query_end_utc,node,market,query_name,version,filename,source_url,status,attempts,size_bytes,sha256,raw_rows,lmp_rows,desired_days_present,csv_members,downloaded_at_utc_iso,error
2025-10-20,2025-10-26,20251020T00:00-0000,20251028T00:00-0000,TH_SP15_GEN-APND,DAM,PRC_LMP,12,SP15_DAM_LMP_20251020_20251026.zip,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_LMP&startdatetime=20251020T00:00-0000&enddatetime=20251028T00:00-0000&version=12&market_run_id=DAM&node=TH_SP15_GEN-APND&resultformat=6,downloaded,1,10077,862d141d11755b6aa1f62fc55360cafafb9cef1c0650f01df243065b637b338a,960,192,7,1,2026-08-11T16:46:21.048Z,
2025-10-27,2025-11-02,20251027T00:00-0000,20251104T00:00-0000,TH_SP15_GEN-APND,DAM,PRC_LMP,12,SP15_DAM_LMP_20251027_20251102.zip,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_LMP&startdatetime=20251027T00:00-0000&enddatetime=20251104T00:00-0000&version=12&market_run_id=DAM&node=TH_SP15_GEN-APND&resultformat=6,downloaded,1,10077,503485c6cda0600ee8d73c90089a15c1f2294d0a21131d1c308ccd1e430d67c9,960,192,7,1,2026-08-11T16:46:36.317Z,
2025-11-03,2025-11-09,20251103T00:00-0000,20251111T00:00-0000,TH_SP15_GEN-APND,DAM,PRC_LMP,12,SP15_DAM_LMP_20251103_20251109.zip,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_LMP&startdatetime=20251103T00:00-0000&enddatetime=20251111T00:00-0000&version=12&market_run_id=DAM&node=TH_SP15_GEN-APND&resultformat=6,downloaded,1,9968,1d0d4d467dfce4155215f0df626afc4e88793744a4fe80b2842aeb1338a9836c,960,192,7,1,2026-08-11T16:46:43.138Z,
2025-11-10,2025-11-16,20251110T00:00-0000,20251118T00:00-0000,TH_SP15_GEN-APND,DAM,PRC_LMP,12,SP15_DAM_LMP_20251110_20251116.zip,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_LMP&startdatetime=20251110T00:00-0000&enddatetime=20251118T00:00-0000&version=12&market_run_id=DAM&node=TH_SP15_GEN-APND&resultformat=6,downloaded,1,10008,c0b184e075a0d0e7e33bd75bff4ac38cb3cede6d1fd9bb72aa2ec00c83105363,960,192,7,1,2026-08-11T16:46:53.423Z,
2025-11-17,2025-11-23,20251117T00:00-0000,20251125T00:00-0000,TH_SP15_GEN-APND,DAM,PRC_LMP,12,SP15_DAM_LMP_20251117_20251123.zip,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_LMP&startdatetime=20251117T00:00-0000&enddatetime=20251125T00:00-0000&version=12&market_run_id=DAM&node=TH_SP15_GEN-APND&resultformat=6,downloaded,1,10065,ea9bea1a4d94ac48fdf0f607b45211e90d401e933a019696e76bef72421c25db,960,192,7,1,2026-08-11T16:47:01.931Z,
2025-11-24,2025-11-30,20251124T00:00-0000,20251202T00:00-0000,TH_SP15_GEN-APND,DAM,PRC_LMP,12,SP15_DAM_LMP_20251124_20251130.zip,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_LMP&startdatetime=20251124T00:00-0000&enddatetime=20251202T00:00-0000&version=12&market_run_id=DAM&node=TH_SP15_GEN-APND&resultformat=6,downloaded,1,10102,ef794b26bf2e23f62d7852065a86446d87ceb658e504954e23183a8b4647c93b,960,192,7,1,2026-08-11T16:47:09.712Z,
2025-12-01,2025-12-07,20251201T00:00-0000,20251209T00:00-0000,TH_SP15_GEN-APND,DAM,PRC_LMP,12,SP15_DAM_LMP_20251201_20251207.zip,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_LMP&startdatetime=20251201T00:00-0000&enddatetime=20251209T00:00-0000&version=12&market_run_id=DAM&node=TH_SP15_GEN-APND&resultformat=6,downloaded,1,10029,40e96db9965f6a55118003f611861d53b2a40738f7652a6230b07e9549e59e22,960,192,7,1,2026-08-11T16:47:16.794Z,
2025-12-08,2025-12-14,20251208T00:00-0000,20251216T00:00-0000,TH_SP15_GEN-APND,DAM,PRC_LMP,12,SP15_DAM_LMP_20251208_20251214.zip,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_LMP&startdatetime=20251208T00:00-0000&enddatetime=20251216T00:00-0000&version=12&market_run_id=DAM&node=TH_SP15_GEN-APND&resultformat=6,downloaded,1,9951,6ad3b3fc5d358aba0eff2ecf40e4180eb0a8926d30f4a6a0e1978988cbc7cef8,960,192,7,1,2026-08-11T16:47:27.481Z,
2025-12-15,2025-12-21,20251215T00:00-0000,20251223T00:00-0000,TH_SP15_GEN-APND,DAM,PRC_LMP,12,SP15_DAM_LMP_20251215_20251221.zip,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_LMP&startdatetime=20251215T00:00-0000&enddatetime=20251223T00:00-0000&version=12&market_run_id=DAM&node=TH_SP15_GEN-APND&resultformat=6,downloaded,1,9894,0397beb9ce6d45da49f12e0ae6d696a5654383c38f5d921eecbad0a11f4597b0,960,192,7,1,2026-08-11T16:47:36.774Z,
2025-12-22,2025-12-28,20251222T00:00-0000,20251230T00:00-0000,TH_SP15_GEN-APND,DAM,PRC_LMP,12,SP15_DAM_LMP_20251222_20251228.zip,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_LMP&startdatetime=20251222T00:00-0000&enddatetime=20251230T00:00-0000&version=12&market_run_id=DAM&node=TH_SP15_GEN-APND&resultformat=6,downloaded,1,9925,40608f0e29221c7a9f6a1955a4a9af3cffa4a87f9f7873f5207d8b6452c9b4bb,960,192,7,1,2026-08-11T16:47:47.605Z,
2025-12-29,2025-12-31,20251229T00:00-0000,20260102T00:00-0000,TH_SP15_GEN-APND,DAM,PRC_LMP,12,SP15_DAM_LMP_20251229_20251231.zip,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_LMP&startdatetime=20251229T00:00-0000&enddatetime=20260102T00:00-0000&version=12&market_run_id=DAM&node=TH_SP15_GEN-APND&resultformat=6,downloaded,1,5256,6b96b0c85d20b8d7b2a72ed0ebe59d03962f0ef44548c3bba808c7a090b0854b,480,96,3,1,2026-08-11T16:47:54.500Z,
