date,midday_mean_lmp_usd_per_mwh,evening_mean_lmp_usd_per_mwh,evening_minus_midday_spread_usd_per_mwh,midday_interval_count,evening_interval_count,total_lmp_interval_count,negative_lmp_interval_count,minimum_lmp_usd_per_mwh,maximum_lmp_usd_per_mwh,data_quality_flag
2025-05-03,-4.01364,26.61914,30.63278,6,4,24,9,-6.05068,34.98361,OK
2025-05-04,-6.54809,26.39765,32.94574,6,4,24,8,-6.82204,34.69542,OK
2025-05-05,17.77533,38.32680,20.55147,6,4,24,0,14.73535,43.24940,OK
2025-05-06,6.18264,36.12929,29.94664,6,4,24,0,5.23810,46.14229,OK
2025-05-07,7.11627,38.69424,31.57797,6,4,24,0,6.01000,49.99252,OK
2025-05-08,11.76018,51.95979,40.19961,6,4,24,0,7.97509,63.16470,OK
2025-05-09,15.48211,62.30898,46.82687,6,4,24,0,11.62764,76.55565,OK
2025-05-10,16.37198,62.93656,46.56458,6,4,24,0,12.80395,78.54277,OK
2025-05-11,3.18753,45.77806,42.59053,6,4,24,0,0.84398,57.79000,OK
2025-05-12,12.13958,42.23671,30.09712,6,4,24,0,11.46314,49.97538,OK
2025-05-13,-9.52310,24.53416,34.05726,6,4,24,10,-11.12783,42.05006,OK
2025-05-14,-10.23510,22.58414,32.81924,6,4,24,10,-14.07441,39.03770,OK
2025-05-15,-8.87155,26.16807,35.03962,6,4,24,10,-13.38000,43.90064,OK
2025-05-16,-4.57923,25.81620,30.39543,6,4,24,9,-6.04404,36.59215,OK
2025-05-17,-12.07868,12.37264,24.45131,6,4,24,11,-13.24178,31.26327,OK
2025-05-18,-24.93396,12.38925,37.32321,6,4,24,11,-26.84604,28.15268,OK
2025-05-19,-9.11057,25.00605,34.11662,6,4,24,11,-11.10991,37.05473,OK
2025-05-20,-3.96772,33.52640,37.49412,6,4,24,10,-7.14568,46.50693,OK
2025-05-21,4.73393,45.69971,40.96578,6,4,24,0,1.17506,57.88752,OK
2025-05-22,-3.41588,37.29360,40.70949,6,4,24,8,-6.77153,45.17766,OK
2025-05-23,-4.53300,30.76552,35.29852,6,4,24,9,-6.78218,41.25719,OK
2025-05-24,-18.54012,18.30548,36.84560,6,4,24,11,-24.02728,34.11486,OK
2025-05-25,-17.08232,14.25813,31.34045,6,4,24,11,-22.86288,35.59000,OK
2025-05-26,-20.80296,20.09951,40.90247,6,4,24,11,-29.26676,34.66833,OK
2025-05-27,-2.44516,36.73799,39.18315,6,4,24,9,-5.05118,49.49775,OK
2025-05-28,11.42330,41.53778,30.11447,6,4,24,0,9.48723,49.53634,OK
2025-05-29,12.56101,46.91383,34.35283,6,4,24,0,10.76233,57.55008,OK
2025-05-30,18.43595,63.20453,44.76859,6,4,24,0,16.40515,78.15000,OK
2025-05-31,26.91570,55.56229,28.64659,6,4,24,0,23.89994,65.42750,OK
2025-06-01,24.33804,43.30176,18.96372,6,4,24,0,22.10245,46.07014,OK
2025-06-02,5.42403,40.05407,34.63005,6,4,24,0,3.85706,50.96455,OK
2025-06-03,15.10847,42.74842,27.63996,6,4,24,0,14.33948,51.44294,OK
