date,fuel_region_id,pricing_hub,interpretation,fuel_price_usd_per_mmbtu,distinct_prices_within_day,raw_hour_rows,source_archives
2023-05-01,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,4.6,1,24,CAISO_PRC_FUEL_2023_05.zip
2025-03-28,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,4.77,1,24,CAISO_PRC_FUEL_2025_03.zip
2025-03-29,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,4.87,1,24,CAISO_PRC_FUEL_2025_03.zip
2025-03-30,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,4.87,1,24,CAISO_PRC_FUEL_2025_03.zip
2025-03-31,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,4.87,1,24,CAISO_PRC_FUEL_2025_03.zip
2025-04-01,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.51,1,24,CAISO_PRC_FUEL_2025_04.zip
2025-04-02,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.63,1,24,CAISO_PRC_FUEL_2025_04.zip
2025-04-03,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.32,1,24,CAISO_PRC_FUEL_2025_04.zip
2025-04-04,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.3,1,24,CAISO_PRC_FUEL_2025_04.zip
2025-04-05,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.92,1,24,CAISO_PRC_FUEL_2025_04.zip
2025-04-06,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.92,1,24,CAISO_PRC_FUEL_2025_04.zip
2025-04-07,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.92,1,24,CAISO_PRC_FUEL_2025_04.zip
2025-04-08,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.81,1,24,CAISO_PRC_FUEL_2025_04.zip
2025-04-09,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.5,1,24,CAISO_PRC_FUEL_2025_04.zip
2025-04-10,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.3,1,24,CAISO_PRC_FUEL_2025_04.zip
2025-04-11,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.53,1,24,CAISO_PRC_FUEL_2025_04.zip
2025-04-12,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.17,1,24,CAISO_PRC_FUEL_2025_04.zip
2025-04-13,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.17,1,24,CAISO_PRC_FUEL_2025_04.zip
2025-04-14,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.17,1,24,CAISO_PRC_FUEL_2025_04.zip
2025-04-15,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.83,1,24,CAISO_PRC_FUEL_2025_04.zip
2025-04-16,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.57,1,24,CAISO_PRC_FUEL_2025_04.zip
2025-04-17,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.53,1,24,CAISO_PRC_FUEL_2025_04.zip
2025-04-18,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.07,1,24,CAISO_PRC_FUEL_2025_04.zip
2025-04-19,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.06,1,24,CAISO_PRC_FUEL_2025_04.zip
2025-04-20,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.06,1,24,CAISO_PRC_FUEL_2025_04.zip
2025-04-21,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.06,1,24,CAISO_PRC_FUEL_2025_04.zip
2025-04-22,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.15,1,24,CAISO_PRC_FUEL_2025_04.zip
2025-04-23,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.12,1,24,CAISO_PRC_FUEL_2025_04.zip
2025-04-24,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.15,1,24,CAISO_PRC_FUEL_2025_04.zip
2025-04-25,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.3,1,24,CAISO_PRC_FUEL_2025_04.zip
2025-04-26,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.29,1,24,CAISO_PRC_FUEL_2025_04.zip
2025-04-27,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.29,1,24,CAISO_PRC_FUEL_2025_04.zip
2025-04-28,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.29,1,24,CAISO_PRC_FUEL_2025_04.zip
2025-04-29,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.23,1,24,CAISO_PRC_FUEL_2025_04.zip
2025-04-30,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.36,1,24,CAISO_PRC_FUEL_2025_04.zip
2025-05-01,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.13,1,24,CAISO_PRC_FUEL_2025_05.zip
2025-05-02,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.22,1,24,CAISO_PRC_FUEL_2025_05.zip
2025-05-03,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.06,1,24,CAISO_PRC_FUEL_2025_05.zip
2025-05-04,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.06,1,24,CAISO_PRC_FUEL_2025_05.zip
2025-05-05,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.06,1,24,CAISO_PRC_FUEL_2025_05.zip
2025-05-06,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.48,1,24,CAISO_PRC_FUEL_2025_05.zip
2025-05-07,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.18,1,24,CAISO_PRC_FUEL_2025_05.zip
2025-05-08,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.24,1,24,CAISO_PRC_FUEL_2025_05.zip
2025-05-09,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.23,1,24,CAISO_PRC_FUEL_2025_05.zip
2025-05-10,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.05,1,24,CAISO_PRC_FUEL_2025_05.zip
2025-05-11,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.05,1,24,CAISO_PRC_FUEL_2025_05.zip
2025-05-12,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.05,1,24,CAISO_PRC_FUEL_2025_05.zip
2025-05-13,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.94,1,24,CAISO_PRC_FUEL_2025_05.zip
2025-05-14,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.65,1,24,CAISO_PRC_FUEL_2025_05.zip
2025-05-15,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.17,1,24,CAISO_PRC_FUEL_2025_05.zip
2025-05-16,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,4.91,1,24,CAISO_PRC_FUEL_2025_05.zip
2025-05-17,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,4.74,1,24,CAISO_PRC_FUEL_2025_05.zip
2025-05-18,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,4.74,1,24,CAISO_PRC_FUEL_2025_05.zip
2025-05-19,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,4.74,1,24,CAISO_PRC_FUEL_2025_05.zip
2025-05-20,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.17,1,24,CAISO_PRC_FUEL_2025_05.zip
2025-05-21,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.31,1,24,CAISO_PRC_FUEL_2025_05.zip
2025-05-22,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.48,1,24,CAISO_PRC_FUEL_2025_05.zip
2025-05-23,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.52,1,24,CAISO_PRC_FUEL_2025_05.zip
2025-05-24,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.02,1,24,CAISO_PRC_FUEL_2025_05.zip
2025-05-25,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.02,1,24,CAISO_PRC_FUEL_2025_05.zip
2025-05-26,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.02,1,24,CAISO_PRC_FUEL_2025_05.zip
2025-05-27,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.03,1,24,CAISO_PRC_FUEL_2025_05.zip
2025-05-28,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.88,1,24,CAISO_PRC_FUEL_2025_05.zip
2025-05-29,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.26,1,24,CAISO_PRC_FUEL_2025_05.zip
2025-05-30,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.96,1,24,CAISO_PRC_FUEL_2025_05.zip
2025-05-31,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.69,1,24,CAISO_PRC_FUEL_2025_05.zip
2025-06-01,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.69,1,24,CAISO_PRC_FUEL_2025_06.zip
2025-06-02,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.69,1,24,CAISO_PRC_FUEL_2025_06.zip
2025-06-03,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.95,1,24,CAISO_PRC_FUEL_2025_06.zip
2025-06-04,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.92,1,24,CAISO_PRC_FUEL_2025_06.zip
2025-06-05,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.18,1,24,CAISO_PRC_FUEL_2025_06.zip
2025-06-06,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.04,1,24,CAISO_PRC_FUEL_2025_06.zip
2025-06-07,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.01,1,24,CAISO_PRC_FUEL_2025_06.zip
2025-06-08,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.01,1,24,CAISO_PRC_FUEL_2025_06.zip
2025-06-09,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.01,1,24,CAISO_PRC_FUEL_2025_06.zip
2025-06-10,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.15,1,24,CAISO_PRC_FUEL_2025_06.zip
2025-06-11,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.99,1,24,CAISO_PRC_FUEL_2025_06.zip
2025-06-12,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.03,1,24,CAISO_PRC_FUEL_2025_06.zip
2025-06-13,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.19,1,24,CAISO_PRC_FUEL_2025_06.zip
2025-06-14,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.8,1,24,CAISO_PRC_FUEL_2025_06.zip
2025-06-15,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.8,1,24,CAISO_PRC_FUEL_2025_06.zip
2025-06-16,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.8,1,24,CAISO_PRC_FUEL_2025_06.zip
2025-06-17,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.99,1,24,CAISO_PRC_FUEL_2025_06.zip
2025-06-18,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.07,1,24,CAISO_PRC_FUEL_2025_06.zip
2025-06-19,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.58,1,24,CAISO_PRC_FUEL_2025_06.zip
2025-06-20,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.57,1,24,CAISO_PRC_FUEL_2025_06.zip
2025-06-21,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.11,1,24,CAISO_PRC_FUEL_2025_06.zip
2025-06-22,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.11,1,24,CAISO_PRC_FUEL_2025_06.zip
2025-06-23,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.11,1,24,CAISO_PRC_FUEL_2025_06.zip
2025-06-24,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.14,1,24,CAISO_PRC_FUEL_2025_06.zip
2025-06-25,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.13,1,24,CAISO_PRC_FUEL_2025_06.zip
2025-06-26,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.15,1,24,CAISO_PRC_FUEL_2025_06.zip
2025-06-27,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.15,1,24,CAISO_PRC_FUEL_2025_06.zip
2025-06-28,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.18,1,24,CAISO_PRC_FUEL_2025_06.zip
2025-06-29,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.18,1,24,CAISO_PRC_FUEL_2025_06.zip
2025-06-30,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,6.18,1,24,CAISO_PRC_FUEL_2025_06.zip
